neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
South Riverdale,2,Moderate Service,36.0,2.9444444444444446,0.5833333333333334,0.9722222222222222,0.9722222222222222,35.0,1.0138272863831141,220,0.75,15.2,27428.0,28610.0,0.6833082751276369,0.6647512793572641,43.658858888888886,-79.34021944444446
Tam O'Shanter-Sullivan,2,Moderate Service,15.0,2.8666666666666667,0.6,0.9333333333333333,0.9333333333333333,14.0,1.2501464356804017,124,0.6666666666666666,19.1,27115.0,23590.0,0.70611142119202,0.6606913974245664,43.78101133333333,-79.30394666666666
Clairlea-Birchmount,2,Moderate Service,16.0,2.875,0.8125,0.9375,0.9375,15.0,1.6604635182405063,210,0.4375,15.5,26570.0,25962.5,0.6587249164004486,0.6572037859722887,43.712490625,-79.2834125
West Hill,2,Moderate Service,18.0,2.888888888888889,0.8333333333333334,0.9444444444444444,0.9444444444444444,17.0,0.4082692698182312,203,0.6666666666666666,20.2,27545.0,25995.0,0.7470663977875829,0.643647797160078,43.766215555555554,-79.17808333333333
St Lawrence-East Bayfront-The Islands,2,Moderate Service,26.0,2.923076923076923,0.6153846153846154,0.9615384615384616,0.9615384615384616,25.0,0.6883112571717109,106,0.9230769230769231,15.9,26636.5,23973.0,0.6510849390143799,0.6414093534094233,43.64394884615385,-79.3689076923077
Willowdale West,2,Moderate Service,17.0,2.8823529411764706,0.7058823529411765,0.9411764705882353,0.9411764705882353,16.0,0.8008620341973904,55,0.7647058823529411,23.15,16918.0,16362.5,0.6040699618514888,0.6373235427332666,43.771654705882355,-79.42081764705883
Don Valley Village,2,Moderate Service,14.0,2.857142857142857,0.7857142857142857,0.9285714285714286,0.9285714285714286,13.0,0.9313835134329824,123,0.8571428571428571,18.5,26793.0,25185.0,0.7046402787321269,0.6367824591599803,43.78307214285714,-79.35408571428572
Harbourfront-CityPlace,2,Moderate Service,18.0,2.888888888888889,0.8888888888888888,0.9444444444444444,0.9444444444444444,17.0,0.9723224881268265,39,0.7777777777777778,15.45,25156.0,24185.0,0.6287052627638544,0.6283088452045406,43.638713888888894,-79.39165555555554
Bayview Village,2,Moderate Service,21.0,2.9047619047619047,0.8095238095238095,0.9523809523809523,0.9523809523809523,20.0,0.363234562614735,73,0.8571428571428571,20.05,21735.0,21797.5,0.647974028915153,0.6269269503002948,43.77191428571429,-79.37649523809525
Birchcliffe-Cliffside,2,Moderate Service,22.0,2.909090909090909,0.7727272727272727,0.9545454545454546,0.9545454545454546,21.0,1.273304297104014,195,0.6818181818181818,12.1,22195.0,20305.0,0.5113672841305481,0.61857332758975,43.695850909090915,-79.26304090909089
Stonegate-Queensway,2,Moderate Service,21.0,2.9047619047619047,0.8571428571428571,0.9523809523809523,0.9523809523809523,20.0,1.3359791535963557,188,0.7619047619047619,10.05,25273.0,22760.0,0.5306356344579239,0.6171903456302393,43.63399238095238,-79.5026619047619
Weston,2,Moderate Service,16.0,2.875,0.875,0.9375,0.9375,15.0,0.1220374084955307,127,0.875,24.1,18188.0,17545.0,0.6427829139322313,0.6148067747040351,43.702806875,-79.520775
