Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
Lambton Ave at Cashman Cres (East),3,,,43.68342,-79.4871,,0,,111,Rockcliffe-Smythe
Lambton Ave at Guestville Ave,3,,,43.68317,-79.4888,,0,,115,Mount Dennis
Lambton Ave at Guestville Ave,3,,,43.68289,-79.4894,,0,,111,Rockcliffe-Smythe
Lambton Ave at Weston Rd,3,,,43.68395,-79.4848,,0,,111,Rockcliffe-Smythe
Lambton Ave at Weston Rd West Side,3,,,43.68406,-79.4849,,0,,115,Mount Dennis
Mount Dennis Garage,3,,,43.6936,-79.4953,,0,,30,Brookhaven-Amesbury
Mount Dennis Station at Bus Bay 6,3,,,43.68858,-79.4885,,0,,112,Beechborough-Greenbrook
Mount Dennis Station at Bus Bay 9,3,,,43.68888,-79.4887,,0,,112,Beechborough-Greenbrook
Opposite 400 Rockcliffe Blvd - Rockcliffe Middle School,3,,,43.67474,-79.4884,,0,,111,Rockcliffe-Smythe
Ray Ave at Bartonville Ave East,3,,,43.68965,-79.4935,,0,,115,Mount Dennis
Rockcliffe Blvd at Alliance Ave,3,,,43.67702,-79.4895,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Alliance Ave,3,,,43.67675,-79.4892,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Caesar Ave North Side,3,,,43.67936,-79.4903,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Caesar Ave South Side,3,,,43.67887,-79.4903,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Corbett Ave,3,,,43.6718,-79.4873,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Corbett Ave North Side,3,,,43.67179,-79.4871,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Homer Ave North Side,3,,,43.68047,-79.4908,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Lambton Ave,3,,,43.68227,-79.4915,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Lambton Ave South Side,3,,,43.68201,-79.4916,,0,,111,Rockcliffe-Smythe
Rockcliffe Blvd at Outlook Ave,3,,,43.68033,-79.4909,,0,,111,Rockcliffe-Smythe
Runnymede Rd at Annette St,3,,,43.66018,-79.4801,,0,,89,Runnymede-Bloor West Village
Runnymede Rd at Annette St,3,,,43.65995,-79.4799,,0,,88,High Park North
Runnymede Rd at Colbeck St,3,,,43.65502,-79.478,,0,,89,Runnymede-Bloor West Village
Runnymede Rd at Colbeck St North Side,3,,,43.65506,-79.4778,,0,,88,High Park North
Runnymede Rd at Dundas St West,3,,,43.66582,-79.4823,,0,,89,Runnymede-Bloor West Village
Runnymede Rd at Dundas St West,3,,,43.66537,-79.482,,0,,90,Junction Area
Runnymede Rd at Dundas St West North Side,3,,,43.66609,-79.4822,,0,,90,Junction Area
Runnymede Rd at Glenwood Ave,3,,,43.65703,-79.4788,,0,,89,Runnymede-Bloor West Village
Runnymede Rd at Glenwood Ave North Side,3,,,43.65714,-79.4787,,0,,88,High Park North
Runnymede Rd at Henrietta St,3,,,43.67056,-79.4841,,0,,111,Rockcliffe-Smythe
Runnymede Rd at Mac Gregor Ave,3,,,43.65848,-79.4795,,0,,89,Runnymede-Bloor West Village
Runnymede Rd at Maher Ave,3,,,43.66211,-79.4806,,0,,90,Junction Area
Runnymede Rd at Maher Ave South Side,3,,,43.66201,-79.4807,,0,,90,Junction Area
Runnymede Rd at St Clair Ave West,3,,,43.66882,-79.4834,,0,,90,Junction Area
Runnymede Rd at St Clair Ave West South Side,3,,,43.66854,-79.4835,,0,,111,Rockcliffe-Smythe
Runnymede Rd at St John's Rd,3,,,43.66388,-79.4815,,0,,90,Junction Area
Runnymede Rd at St John's Rd,3,,,43.6637,-79.4812,,0,,90,Junction Area
Runnymede Rd at Webb Ave,3,,,43.65855,-79.4793,,0,,88,High Park North
Runnymede Station at Bus Bay 2,3,,,43.65173,-79.476,,0,,88,High Park North
Trethewey Dr at Todd Baylis Blvd South Side,3,,,43.69496,-79.4873,,0,,112,Beechborough-Greenbrook
Weston Rd at Dennis Ave,3,,,43.68514,-79.486,,0,,115,Mount Dennis
Weston Rd at Dennis Ave,3,,,43.68493,-79.4852,,0,,115,Mount Dennis
Weston Rd at Eglinton Ave West,3,,,43.68681,-79.489,,0,,115,Mount Dennis
Weston Rd at Eglinton Ave West South Side,3,,,43.68668,-79.4891,,0,,115,Mount Dennis
